,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre: Short,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre: Musical,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre: Thriller,Genre:  Romance,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre: Animation,Genre:  Sci-Fi,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre: History,Genre:  Action,Genre: Crime,Content Rating: PASSED,Content Rating: TV-MA,Content Rating: X,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: NR,Content Rating: G,Content Rating: APPROVED,Content Rating: UNRATED,Content Rating: NOT RATED,Content Rating: TV-G,Content Rating: R
1742,François Ozon,Rainer Werner Fassbinder,François Ozon,Bernard Giraudeau,Malik Zidi,Ludivine Sagnier,Bernard Giraudeau,Malik Zidi,Ludivine Sagnier,Anna Levine,,Fran�ois Ozon,86132.0,6.9,73.0,5236,,0,0,2,2,2000-02-13,82.0,Gouttes d'eau sur pierres br�lantes,2000-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1743,Yves Robert,Louis Nucéra,Marcel Pagnol,Philippe Caubère,Nathalie Roussel,Didier Pain,Philippe Caubère,Nathalie Roussel,Didier Pain,Thérèse Liotard,,Yves Robert,1710856.0,7.6,nan,5262,,0,0,4,2,1990-08-29,105.0,La gloire de mon p�re,1990-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1744,Jean Girault,Jacques Vilfrid,Jacques Vilfrid,Louis de Funès,Michel Galabru,Maurice Risch,Louis de Funès,Michel Galabru,Maurice Risch,Jacques François,,Jean Girault,,6.2,nan,5440,,0,0,0,0,1982-10-06,102.0,Le gendarme et les gendarmettes,1982-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1745,Tyler Oliver,Jamieson Stern,Tyler Oliver,Carly Schroeder,Cody Linley,Brie Gabrielle,Carly Schroeder,Cody Linley,Micah Alberti,Brie Gabrielle,1300000.0,Tyler Oliver,,5.2,nan,5237,,0,0,0,0,2009-08-24,103.0,Forget Me Not,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1746,Ishirô Honda,Shin'ichi Sekizawa,Akira Takarada,Yuriko Hoshi,Hiroshi Koizumi,Akira Takarada,Yuriko Hoshi,Hiroshi Koizumi,Yû Fujiki,Kenji Sahara,,Ishir� Honda,,6.5,nan,5456,,0,0,1,0,1964-04-29,89.0,Mosura tai Gojira,1964-01-01,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1747,Byron Haskin,Lawrence Edward Watkin,Robert Louis Stevenson,Bobby Driscoll,Robert Newton,Basil Sydney,Bobby Driscoll,Robert Newton,Basil Sydney,Walter Fitzgerald,,Byron Haskin,4419657.0,7.0,nan,5481,,0,0,1,0,1950-06-22,96.0,Treasure Island,1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1748,Ramin Bahrani,Bahareh Azimi,Ramin Bahrani,Souleymane Sy Savane,Red West,Diana Franco Galindo,Souleymane Sy Savane,Red West,Diana Franco Galindo,Lane 'Roc' Williams,,Ramin Bahrani,871275.0,7.4,89.0,5188,,0,0,7,4,2008-08-31,91.0,Goodbye Solo,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1749,Céline Sciamma,Céline Sciamma,Karidja Touré,Assa Sylla,Lindsay Karamoh,Karidja Touré,Assa Sylla,Lindsay Karamoh,Mariétou Touré,Idrissa Diabaté,,C�line Sciamma,,6.9,85.0,5828,,0,0,21,11,2014-05-15,113.0,Bande de filles,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1750,Özhan Eren,Murat Saraçoglu,Özhan Eren,Özge Özberk,Cansel Elcin,Burak Sergen,Özge Özberk,Cansel Elcin,Burak Sergen,Yasar Abravaya,3000000.0,�zhan Eren Murat Sara�oglu,,7.3,nan,5750,,0,0,0,0,2008-02-15,114.0,120,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1751,Gilles Paquet-Brenner,Serge Brussolo,Rodolphe Tissot,Tim Allen,Mischa Barton,Darla Biccum,Tim Allen,Mischa Barton,Darla Biccum,Cameron Bright,10000000.0,Gilles Paquet-Brenner,,4.8,nan,5163,,0,0,0,0,2009-02-20,91.0,Walled In,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1752,Bruno Nuytten,Reine-Marie Paris,Bruno Nuytten,Isabelle Adjani,Gérard Depardieu,Madeleine Robinson,Isabelle Adjani,Gérard Depardieu,Madeleine Robinson,Laurent Grévill,,Bruno Nuytten,201055.0,7.3,nan,5326,,2,0,12,7,1988-12-07,175.0,Camille Claudel,1988-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1753,Bill Maher,Zac Stanford,Charlize Theron,Nick Stahl,AnnaSophia Robb,Nick Stahl,AnnaSophia Robb,Charlize Theron,Deborra-Lee Furness,Mathew St. Patrick,,Bill Maher,168972.0,6.2,40.0,5175,,0,0,0,0,2008-01-22,101.0,Sleepwalking,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1754,Anthony Mann,Will C. Brown,Reginald Rose,Gary Cooper,Julie London,Lee J. Cobb,Gary Cooper,Julie London,Lee J. Cobb,Arthur O'Connell,1500000.0,Anthony Mann,,7.2,nan,5320,,0,0,0,0,1958-10-01,100.0,Man of the West,1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1755,W.S. Van Dyke,Frances Goodrich,Albert Hackett,William Powell,Myrna Loy,Virginia Grey,William Powell,Myrna Loy,Virginia Grey,Otto Kruger,,W.S. Van Dyke,,7.5,nan,5317,,0,0,0,0,1939-11-17,103.0,Another Thin Man,1939-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,Rohit Shetty,Indie,Rumi Jaffery,Ajay Devgn,Kareena Kapoor Khan,Arshad Warsi,Ajay Devgn,Kareena Kapoor Khan,Arshad Warsi,Tusshar Kapoor,,Rohit Shetty,,5.0,nan,5627,,0,0,2,0,2008-10-29,135.0,Golmaal Returns,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1757,Raoul Walsh,Ivan Goff,Ben Roberts,Gregory Peck,Virginia Mayo,Robert Beatty,Gregory Peck,Virginia Mayo,Robert Beatty,Moultrie Kelsall,,Raoul Walsh,,7.4,nan,5242,,0,0,0,0,1951-04-10,117.0,Captain Horatio Hornblower R.N.,1951-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1758,Akira Kurosawa,Kiyoko Murata,Akira Kurosawa,Sachiko Murase,Richard Gere,Hisashi Igawa,Sachiko Murase,Hisashi Igawa,Narumi Kayashima,Tomoko Ôtakara,,Akira Kurosawa,516431.0,7.3,nan,5269,,0,0,6,5,1991-05-12,98.0,Hachi-gatsu no rapusod�,1991-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1759,Delbert Mann,Terence Rattigan,John Gay,Rita Hayworth,Deborah Kerr,David Niven,Deborah Kerr,Rita Hayworth,David Niven,Wendy Hiller,,Delbert Mann,7400000.0,7.5,nan,5337,,0,2,15,5,1958-12-18,100.0,Separate Tables,1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1760,James Dodson,Tracey Jackson,Jesse Metcalfe,Sara Foster,Anupam Kher,Jesse Metcalfe,Austin Basis,Larry Miller,Michael Chen,Nouva Monika Wahlgren,14000000.0,James Dodson,115504.0,6.2,40.0,5227,,0,0,0,0,2008-10-31,106.0,The Other End of the Line,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1761,Dario Argento,Franco Ferrini,Gianni Romoli,Christopher Rydell,Asia Argento,Piper Laurie,Christopher Rydell,Asia Argento,Piper Laurie,Frederic Forrest,7000000.0,Dario Argento,,6.0,nan,5303,,0,0,0,0,1993-03-12,106.0,Trauma,1993-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1762,Shaad Ali,Mani Ratnam,Gulzar,Vivek Oberoi,Rani Mukerji,Shah Rukh Khan,Vivek Oberoi,Rani Mukerji,Shah Rukh Khan,Tabu,,Shaad Ali,71400.0,6.9,nan,5852,,0,0,6,13,2002-12-20,138.0,Saathiya,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1763,Cecil B. DeMille,Jesse Lasky Jr.,Fredric M. Frank,Hedy Lamarr,Victor Mature,George Sanders,Hedy Lamarr,Victor Mature,George Sanders,Angela Lansbury,3000000.0,Cecil B. DeMille,28800000.0,6.8,nan,5439,,0,2,5,1,1949-12-21,131.0,Samson and Delilah,1949-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1764,Marc Rocco,Daniel Jay Franklin,Daniel Jay Franklin,Corey Feldman,Jason Robards,Piper Laurie,Jason Robards,Corey Feldman,Piper Laurie,Meredith Salenger,,Marc Rocco,5552441.0,5.9,nan,5351,,0,0,0,0,1989-03-03,114.0,Dream a Little Dream,1989-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1765,Zak Penn,Zak Penn,Matt Bierman,Woody Harrelson,David Cross,Dennis Farina,Woody Harrelson,David Cross,Dennis Farina,Cheryl Hines,5400000.0,Zak Penn,8114669.0,6.0,57.0,5091,,0,0,0,0,2007-06-07,104.0,The Grand,2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1766,Carlos Reygadas,Carlos Reygadas,Marcos Hernández,Anapola Mushkadiz,Bertha Ruiz,Marcos Hernández,Anapola Mushkadiz,Bertha Ruiz,David Bornstein,Rosalinda Ramirez,,Carlos Reygadas,70899.0,5.7,56.0,5239,,0,0,3,1,2005-05-15,98.0,Batalla en el cielo,2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1767,Maja Milos,Maja Milos,Isidora Simijonovic,Vukasin Jasnic,Sanja Mikitisin,Isidora Simijonovic,Vukasin Jasnic,Sanja Mikitisin,Jovo Maksic,Monja Savic,,Maja Milos,,5.8,54.0,5361,,0,0,7,5,2012-01-27,102.0,Klip,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1768,Billy Wilder,Charles Brackett,Billy Wilder,Jean Arthur,Marlene Dietrich,John Lund,Jean Arthur,Marlene Dietrich,John Lund,Millard Mitchell,1500000.0,Billy Wilder,,7.4,nan,5414,,2,0,1,0,1948-06-30,116.0,A Foreign Affair,1948-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1769,Jafar Panahi,Abbas Kiarostami,Jafar Panahi,Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Anna Borkowska,150000.0,Jafar Panahi,474047.0,7.8,nan,5378,,0,0,3,5,1995-02-01,85.0,Badkonake sefid,1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1770,Karen Leigh Hopkins,Karen Leigh Hopkins,Katie Holmes,James Badge Dale,Callan Mulvey,Katie Holmes,James Badge Dale,Callan Mulvey,Jean Smart,Mary Kay Place,3000000.0,Karen Leigh Hopkins,,5.7,43.0,5743,,0,0,1,0,2014-04-21,88.0,Miss Meadows,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1771,Philip Ridley,Philip Ridley,Viggo Mortensen,Lindsay Duncan,Jeremy Cooper,Viggo Mortensen,Lindsay Duncan,Jeremy Cooper,Sheila Moore,Duncan Fraser,,Philip Ridley,,7.0,nan,5603,,0,0,3,6,1990-08-01,96.0,The Reflecting Skin,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1772,Maneesh Sharma,Jaideep Sahni,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor,Sushant Singh Rajput,Parineeti Chopra,Vaani Kapoor,Rishi Kapoor,Imtiaz Ahmad,,Maneesh Sharma,,5.8,nan,5243,,0,0,18,5,2013-09-05,141.0,Shuddh Desi Romance,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1773,Marcus Adams,Marcus Adams,Eitan Arrusi,Joe Absolom,Tom Bell,Lara Belmont,Joe Absolom,Lara Belmont,Melanie Gutteridge,Lukas Haas,,Marcus Adams,,4.9,nan,5145,404098.1552384267,0,0,2,0,2002-01-18,94.0,Long Time Dead,2002-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1774,Frank LaLoggia,Frank LaLoggia,Lukas Haas,Len Cariou,Alex Rocco,Lukas Haas,Len Cariou,Alex Rocco,Katherine Helmond,Jason Presson,4700000.0,Frank LaLoggia,7000000.0,6.7,nan,5238,,0,0,4,1,1988-04-22,113.0,Lady in White,1988-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1775,Martin Provost,Marc Abdelnour,Martin Provost,Yolande Moreau,Ulrich Tukur,Anne Bennent,Yolande Moreau,Ulrich Tukur,Anne Bennent,Geneviève Mnich,,Martin Provost,881839.0,7.4,84.0,5282,,0,0,7,20,2008-09-07,125.0,S�raphine,2008-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1776,Radivoje Andric,Srdja Andjelic,Srdja Andjelic,Boris Milivojevic,Sergej Trifunovic,Maja Mandzuka,Boris Milivojevic,Sergej Trifunovic,Maja Mandzuka,Milica Vujovic,,Radivoje Andric,,7.9,nan,5354,,0,0,0,0,2001-03-21,90.0,Munje!,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1777,Sean Baker,Sean Baker,Chris Bergoch,Dree Hemingway,Besedka Johnson,Boonee,Dree Hemingway,Boonee,Stella Maeve,Sheri Vecchio,,Sean Baker,87910.0,6.8,74.0,5533,,0,0,6,5,2012-03-11,103.0,Starlet,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1778,Martin Guigui,Bruce Wilkinson,Dennis Quaid,Tony Oller,Aimee Teegarden,Dennis Quaid,Aimee Teegarden,Tony Oller,Stephen Ford,Devon Werkheiser,7300000.0,Martin Guigui,21000000.0,4.5,22.0,5156,,0,0,0,0,2011-10-22,96.0,Beneath the Darkness,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1779,Jacob Tierney,Jacob Tierney,Liane Balaban,Jay Baruchel,Taylor Baruchel,Liane Balaban,Jay Baruchel,Taylor Baruchel,Dan Beirne,Domini Blythe,5957922.174641593,Jacob Tierney,,6.9,59.0,5191,,0,0,7,9,2009-09-11,120.0,The Trotsky,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1780,Henri Verneuil,Auguste Le Breton,Henri Verneuil,Jean Gabin,Alain Delon,Lino Ventura,Jean Gabin,Alain Delon,Lino Ventura,Irina Demick,,Henri Verneuil,3000000.0,7.5,nan,5487,,0,0,1,0,1969-12-01,122.0,Le clan des Siciliens,1969-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1781,Brett Simmons,Thommy Hutson,Catherine Trillo,Joey Lauren Adams,Elizabeth Gillies,Paul Iacono,Joey Lauren Adams,Elizabeth Gillies,Paul Iacono,Thorsten Kaye,,Brett Simmons,,4.8,nan,5332,,0,0,0,0,2014-06-13,86.0,Animal,2014-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1782,Carl Boese,Paul Wegener,Henrik Galeen,Paul Wegener,Paul Wegener,Albert Steinrück,Ernst Deutsch,Paul Wegener,Albert Steinrück,Lyda Salmonova,,Carl Boese Paul Wegener,,7.2,nan,5282,,0,0,1,0,1920-10-29,91.0,Der Golem wie er in die Welt kam,1920-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1783,Christine Lahti,Jill Franklyn,Albert Brooks,Leelee Sobieski,Rutanya Alda,Rutanya Alda,Natasha Braisewell,Albert Brooks,Henry Brown,Gary Bullock,,Christine Lahti,621377.0,7.3,48.0,5095,,0,0,1,0,2001-01-18,109.0,My First Mister,2001-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1784,Pif,Michele Astori,Pif,Cristiana Capotondi,Pif,Alex Bisconti,Cristiana Capotondi,Pif,Alex Bisconti,Ginevra Antona,,Pif,37134.0,7.2,62.0,5909,558136.105581361,0,0,20,15,2013-11-27,90.0,La mafia uccide solo d'estate,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1785,Giulio Petroni,Luciano Vincenzoni,Lee Van Cleef,John Phillip Law,Mario Brega,Lee Van Cleef,John Phillip Law,Mario Brega,Luigi Pistilli,Anthony Dawson,,Giulio Petroni,,7.2,nan,5458,,0,0,0,0,1967-08-31,120.0,Da uomo a uomo,1967-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1786,David Schmoeller,David Schmoeller,J. Larry Carroll,Chuck Connors,Jocelyn Jones,Jon Van Ness,Chuck Connors,Jocelyn Jones,Jon Van Ness,Robin Sherwood,,David Schmoeller,,6.2,nan,5578,,0,0,0,0,1979-01-01,90.0,Tourist Trap,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1787,Yi'nan Diao,Yi'nan Diao,Fan Liao,Lun-Mei Kwei,Xuebing Wang,Fan Liao,Lun-Mei Kwei,Xuebing Wang,Jingchun Wang,Ailei Yu,,Yi'nan Diao,,6.6,75.0,5590,,0,0,30,11,2014-02-12,110.0,Bai ri yan huo,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1788,David Koepp,James Burke,David Koepp,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Kyle MacLachlan,Elisabeth Shue,Dermot Mulroney,Richard T. Jones,8000000.0,David Koepp,3594848.0,5.7,nan,5277,,0,0,0,0,1996-08-30,94.0,The Trigger Effect,1996-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1789,Alfred L. Werker,Edwin Blum,William Absalom Drake,Basil Rathbone,Nigel Bruce,Ida Lupino,Basil Rathbone,Nigel Bruce,Ida Lupino,Alan Marshal,,Alfred L. Werker,,7.6,nan,5260,,0,0,0,0,1939-09-01,85.0,The Adventures of Sherlock Holmes,1939-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1790,Michael Anderson,John Varley,John Varley,Kris Kristofferson,Cheryl Ladd,Daniel J. Travanti,Kris Kristofferson,Cheryl Ladd,Daniel J. Travanti,Robert Joy,,Michael Anderson,5777099.0,5.7,nan,5317,,0,0,5,1,1989-08-24,108.0,Millennium,1989-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1791,John Irvin,Ken Solarz,Harvey Keitel,Stephen Dorff,Timothy Hutton,Harvey Keitel,Stephen Dorff,Timothy Hutton,Famke Janssen,Wade Dominguez,8000000.0,John Irvin,1495332.0,6.2,nan,5115,,0,0,1,0,1997-03-14,97.0,City of Industry,1997-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
