,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
9675,Hardy Martins,Josef Martin Bauer,Bastian Clevé,Bernhard Bettermann,Iris Böhm,Anatoliy Kotenyov,Bernhard Bettermann,Iris Böhm,Anatoliy Kotenyov,Michael Mendl,"DEM 15,000,000",TV-G,Hardy Martins,"Action, Adventure, Drama, War",,7.4,,5530,,0,0,0,1,2001-11-01,158.0,So weit die F��e tragen,http://www.imdb.com/title/tt0277327/,2001
9676,Aki Kaurismäki,Aki Kaurismäki,Janne Hyytiäinen,Maria Järvenhelmi,Maria Heiskanen,Janne Hyytiäinen,Maria Järvenhelmi,Maria Heiskanen,Ilkka Koivula,Sergei Doudko,"€1,380,000",NR,Aki Kaurism�ki,"Crime, Drama","$14,056",6.9,57.0,5494,,0,0,6,3,2006-02-03,78.0,Laitakaupungin valot,http://www.imdb.com/title/tt0458242/,2006
9677,Mark Rydell,Robert Dillon,Robert Dillon,Mel Gibson,Sissy Spacek,Shane Bailey,Mel Gibson,Sissy Spacek,Shane Bailey,Becky Jo Lynch,"$18,000,000",PG-13,Mark Rydell,Drama,"$11,489,982",6.3,,5375,,4,0,2,2,1984-12-19,124.0,The River,http://www.imdb.com/title/tt0088007/,1984
9678,Ulrich Seidl,Veronika Franz,Ulrich Seidl,Maria Hofstätter,Christine Jirku,Viktor Hennemann,Maria Hofstätter,Alfred Mrva,Erich Finsches,Gerti Lehner,,R,Ulrich Seidl,Drama,"$13,031,",7.1,66.0,5338,,0,0,3,7,2001-09-03,121.0,Hundstage,http://www.imdb.com/title/tt0290661/,2001
9679,Damian Lee,Damian Lee,Andy Garcia,Kim Coates,Deborah Kara Unger,Lloyd Adams,Alfredo Álvarez Calderón,Josh Bainbridge,Danielle Baker,Steven Bauer,,R,Damian Lee,"Action, Thriller","$5,750,",5.6,31.0,5302,,0,0,0,1,2012-09-19,106.0,A Dark Truth,http://www.imdb.com/title/tt2083379/,2012
9680,Dervis Zaim,Dervis Zaim,Ahmet Ugurlu,Tuncel Kurtiz,Aysen Aydemir,Ahmet Ugurlu,Tuncel Kurtiz,Aysen Aydemir,Mahmut Benek,Ahmet Cediladirci,,NR,Dervis Zaim,Drama,,7.8,,6268,,0,0,3,16,1996-11-15,75.0,Tabutta R�vasata,http://www.imdb.com/title/tt0127311/,1996
9681,Gunasekhar,Gunasekhar,Mahesh Babu,Bhoomika Chawla,Prakash Raj,Mahesh Babu,Bhoomika Chawla,Prakash Raj,Chandramohan,Rajan P. Dev,,NR,Gunasekhar,"Action, Romance",,8.1,,6139,,0,0,0,10,2003-01-15,170.0,Okkadu,http://www.imdb.com/title/tt0366840/,2003
9682,Michael Schultz,Henry Edwards,Peter Frampton,Barry Gibb,Robin Gibb,Peter Frampton,Barry Gibb,Robin Gibb,Maurice Gibb,Frankie Howerd,"$18,000,000",PG,Michael Schultz,"Adventure, Comedy, Fantasy, Musical","$12,900,000",3.9,,5278,,0,0,1,0,1978-07-21,113.0,Sgt. Pepper's Lonely Hearts Club Band,http://www.imdb.com/title/tt0078239/,1978
9683,Martyn Pick,Dan Abnett,Terence Stamp,John Hurt,Sean Pertwee,Terence Stamp,John Hurt,Sean Pertwee,Steven Waddington,Donald Sumpter,,R,Martyn Pick,"Animation, Action, Fantasy, Horror, Mystery, Sci-Fi, Thriller",,5.7,,5244,,0,0,0,0,2010-12-13,76.0,"Ultramarines: A Warhammer 40,000 Movie",http://www.imdb.com/title/tt1679332/,2010
9684,Gerry Lively,Robert Kimmel,Gerry Lively,Bruce Payne,Mark Dymond,Clemency Burton-Hill,Bruce Payne,Mark Dymond,Clemency Burton-Hill,Ellie Chidzey,"$15,000,000",NOT RATED,Gerry Lively,"Action, Adventure, Fantasy","$909,822",4.8,,5223,,0,0,0,0,2005-09-01,105.0,Dungeons & Dragons: Wrath of the Dragon God,http://www.imdb.com/title/tt0406728/,2005
