,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Directors,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,Year,Genre:  Comedy,Genre: Fantasy,Genre: Film-Noir,Genre:  Sport,Genre: Biography,Genre: Action,Genre:  Fantasy,Genre:  Biography,Genre: Mystery,Genre:  Musical,Genre:  Romance,Genre: Thriller,Genre:  Film-Noir,Genre:  History,Genre: Western,Genre: Drama,Genre: Sci-Fi,Genre:  Horror,Genre: Romance,Genre: Adventure,Genre:  Family,Genre:  Sci-Fi,Genre: Animation,Genre:  Music,Genre:  Mystery,Genre:  Thriller,Genre: Comedy,Genre:  Crime,Genre: Horror,Genre:  Drama,Genre:  War,Genre:  Western,Genre:  Adventure,Genre:  Action,Genre: Crime,Content Rating: TV-MA,Content Rating: NC-17,Content Rating: TV-14,Content Rating: M,Content Rating: GP,Content Rating: TV-PG,Content Rating: PG,Content Rating: PG-13,Content Rating: G,Content Rating: NR,Content Rating: UNRATED,Content Rating: M/PG,Content Rating: NOT RATED,Content Rating: R,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
1575,Andy Tennant,Joan Taylor,Katherine Reback,Matthew Perry,Salma Hayek,Jon Tenney,Matthew Perry,Salma Hayek,Jon Tenney,Carlos Gómez,,Andy Tennant,12100000.0,6.0,37.0,29279,,0,0,2,0,1997-02-14,109.0,Fools Rush In,1997-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,,,18594299.03050684,,
1576,Steven Soderbergh,Peter Buchman,Benjamin A. van der Veen,Demián Bichir,Rodrigo Santoro,Benicio Del Toro,Demián Bichir,Rodrigo Santoro,Benicio Del Toro,Catalina Sandino Moreno,,Steven Soderbergh,,6.9,64.0,29301,,0,0,7,2,2008-05-21,135.0,Che: Part Two,2008-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,,,,,
1577,Patrick Lussier,Joel Soisson,Patrick Lussier,Gerard Butler,Justine Waddell,Jonny Lee Miller,Gerard Butler,Christopher Plummer,Jonny Lee Miller,Justine Waddell,,Patrick Lussier,47053625.0,4.9,26.0,29007,,0,0,1,0,2000-12-22,99.0,Dracula 2000,2000-01-01,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,67402268.43858886,,
1578,Rodrigo García,Ronnie Christensen,Anne Hathaway,Patrick Wilson,David Morse,Anne Hathaway,Patrick Wilson,Andre Braugher,Dianne Wiest,David Morse,,Rodrigo Garc�a,5787152.0,5.9,40.0,30245,,0,0,0,0,2008-09-26,93.0,Passengers,2008-01-01,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,,,6630439.623367678,,
1579,John Cameron Mitchell,John Cameron Mitchell,Sook-Yin Lee,Peter Stickles,PJ DeBoy,Sook-Yin Lee,Paul Dawson,Lindsay Beamish,PJ DeBoy,Raphael Barker,,John Cameron Mitchell,3108568.0,6.5,64.0,29169,,0,0,6,7,2006-05-20,101.0,Shortbus,2006-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000,,,3803665.9577456634,,
1580,Nicole Kassell,Steven Fechter,Nicole Kassell,Kevin Bacon,Kyra Sedgwick,Yasiin Bey,Kevin Bacon,David Alan Grier,Eve,Kyra Sedgwick,,Nicole Kassell,40601.0,7.2,72.0,29187,,0,0,20,7,2004-01-19,87.0,The Woodsman,2004-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,53022.19043907565,,
1581,Tinto Brass,Bob Guccione,Gore Vidal,Malcolm McDowell,Peter O'Toole,Helen Mirren,Malcolm McDowell,Teresa Ann Savoy,Guido Mannari,John Gielgud,,Giancarlo Lui Bob Guccione Tinto Brass,23438120.0,5.3,nan,29512,,0,0,2,0,1979-08-14,156.0,Caligola,1979-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1970,,,79661834.27185671,,
1582,Franck Khalfoun,Alexandre Aja,Grégory Levasseur,Elijah Wood,Nora Arnezeder,America Olivo,Nora Arnezeder,Brian Ames,America Olivo,Genevieve Alexandra,,Franck Khalfoun,20551.0,6.1,47.0,30256,,0,0,5,4,2012-05-26,89.0,Maniac,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,,,22079.474460370206,,
1583,George Pal,David Duncan,H.G. Wells,Rod Taylor,Alan Young,Yvette Mimieux,Rod Taylor,Alan Young,Yvette Mimieux,Sebastian Cabot,,George Pal,2610000.0,7.6,nan,30401,,0,1,1,0,1960-05-25,103.0,The Time Machine,1960-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1960,,,21768591.377852917,,
1584,Stephen Kay,Ted Lewis,David McKenna,Sylvester Stallone,Rachael Leigh Cook,Miranda Richardson,Sylvester Stallone,Miranda Richardson,Rachael Leigh Cook,Rhona Mitra,,Stephen Kay,4445811.0,5.1,24.0,29203,,0,0,5,0,2000-09-25,102.0,Get Carter,2000-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,,,6368430.624616725,,
