,Actor_0,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,Actor_6,Actor_7,Actor_8,Actor_9,Budget,Content Rating,Directors,Genres,Gross,IMDb Rating,Meta Score,Num Votes,Opening Weekend,Oscar Nominations,Oscar Wins,Other Nominations,Other Wins,Release Date,Runtime (mins),Title,URL,Year
5601,Deepa Mehta,Anurag Kashyap,Deepa Mehta,Lisa Ray,John Abraham,Seema Biswas,Sarala Kariyawasam,Buddhi Wickrama,Rinsly Weerarathne,Iranganie Serasinghe,,PG-13,Deepa Mehta,"Drama, Romance","$3,222,857,",7.8,77.0,13202,"CAD 273,830 (Canada),",1,0,14,17,2005-09-08,117.0,Water,http://www.imdb.com/title/tt0240200/,2005
5602,Roger Corman,Charles B. Griffith,Charles B. Griffith,Jonathan Haze,Jackie Joseph,Mel Welles,Jonathan Haze,Jackie Joseph,Mel Welles,Dick Miller,"$27,000",NOT RATED,"Mel Welles, Roger Corman, Charles B. Griffith","Comedy, Horror","$1,400,000,",6.3,,13632,,0,0,0,0,1960-08-05,72.0,The Little Shop of Horrors,http://www.imdb.com/title/tt0054033/,1960
5603,Daniel Schechter,Daniel Schechter,Elmore Leonard,Jennifer Aniston,Yasiin Bey,Isla Fisher,Jennifer Aniston,Yasiin Bey,Isla Fisher,Will Forte,"$12,000,000",R,Daniel Schechter,"Comedy, Crime","$261,695,",5.8,60.0,14429,,0,0,0,0,2013-09-14,98.0,Life of Crime,http://www.imdb.com/title/tt1663207/,2013
5604,Teddy Chan,Rod Dean,Ivy Ho,Jackie Chan,Min Kim,Eric Tsang,Jackie Chan,Eric Tsang,Vivian Hsu,Min Kim,"HKD 200,000,000",PG-13,Teddy Chan,"Action, Comedy, Crime, Mystery, Thriller",,5.9,,13899,,0,0,3,2,2001-01-18,108.0,Te wu mi cheng,http://www.imdb.com/title/tt0271946/,2001
5605,Wayne Wang,Amy Tan,Amy Tan,Tamlyn Tomita,Rosalind Chao,Kieu Chinh,Kieu Chinh,Tsai Chin,France Nuyen,Lisa Lu,"$11,000,000",R,Wayne Wang,Drama,"$32,861,136",7.6,84.0,13211,,0,0,4,3,1993-09-10,139.0,The Joy Luck Club,http://www.imdb.com/title/tt0107282/,1993
5606,Bruce Malmuth,Gary Nelson,David Shaber,David Shaber,Sylvester Stallone,Rutger Hauer,Billy Dee Williams,Sylvester Stallone,Billy Dee Williams,Lindsay Wagner,"$5,000,000",R,"Gary Nelson, Bruce Malmuth","Action, Crime, Thriller","$19,900,000,",6.4,56.0,13805,,0,0,0,0,1981-04-10,99.0,Nighthawks,http://www.imdb.com/title/tt0082817/,1981
5607,David S. Ward,Emlyn Williams,David S. Ward,John Goodman,Peter O'Toole,John Hurt,John Goodman,Peter O'Toole,John Hurt,Camille Coduri,,PG,David S. Ward,"Comedy, Romance","$52,487,045",5.2,,13468,,0,0,0,0,1991-02-15,97.0,King Ralph,http://www.imdb.com/title/tt0102216/,1991
5608,Joseph Kahn,Joseph Kahn,Mark Palermo,Josh Hutcherson,Shanley Caswell,Spencer Locke,Alison Woods,Logan Stalarow,Julie Dolan,Shanley Caswell,"$10,000,000",R,Joseph Kahn,"Comedy, Horror, Sci-Fi",,5.8,45.0,13518,,0,0,4,0,2011-03-13,93.0,Detention,http://www.imdb.com/title/tt1701990/,2011
5609,Jerry Kramer,Jim Blashfield,Michael Jackson,David Newman,Michael Jackson,Joe Pesci,Sean Lennon,Michael Jackson,Joe Pesci,Sean Lennon,"$22,000,000",PG,"Colin Chilvers, Jerry Kramer, Jim Blashfield","Action, Crime, Fantasy, Music, Thriller",,6.0,,13592,,0,0,2,2,1988-10-29,93.0,Moonwalker,http://www.imdb.com/title/tt0095655/,1988
5610,Davis Guggenheim,Gregory Poirier,Gregory Poirier,James Marsden,Lena Headey,Norman Reedus,James Marsden,Lena Headey,Norman Reedus,Kate Hudson,"$24,000,000",R,Davis Guggenheim,"Drama, Mystery, Thriller","$12,591,270",5.9,31.0,13159,,0,0,3,0,2000-04-18,90.0,Gossip,http://www.imdb.com/title/tt0176783/,2000
